Read	RefCov
106:784|71b603cd-0c32-4a33-aa89-4c2168c5add2	99.254
113:773|d4d4c6bd-0871-42d1-af61-b26ad239de3f	100
109:764|52af5628-bc55-48ab-8802-74a7783859aa	98.358
115:781|c9857fa6-35a7-4f3a-94c4-ce7705f751be	100
111:780|fea8cce6-53a5-462c-80d2-e8d319f4fd4d	99.701
112:779|635935f1-030b-4b73-8c4f-e74c646ecb77	99.552
106:782|40df747a-dfd0-4f92-883f-454b4d4c29cd	100
111:776|78a100f6-45ad-4778-8923-67960120fd2e	99.552
112:768|287ea306-d08c-4f8b-9c3e-656ebc78c314	100
101:776|853f3894-a400-4328-883a-4c6240d60c03	99.552
112:770|6dfde556-bf5b-432f-bafe-87bdaef5d399	99.403
96:766|c3151050-47b0-45fa-b608-2d5b9c739544	99.552
103:772|82ff742d-4308-4009-a9ff-04acbfcdfd5c	100
116:803|6ee6f00e-102d-4fa0-8c3a-cbf1883faef3	100
113:772|e769a891-01d2-4ece-aeb8-c39d158035e3	100
113:771|73e13b60-6a20-4e0a-b5c0-32b84437a6c3	99.254
